0.600	  0.00351  0.06600 -0.13669
0.605	  0.00357  0.06651 -0.13778
0.610	  0.00363  0.06702 -0.13888
0.615	  0.00369  0.06753 -0.13998
0.620	  0.00375  0.06804 -0.14108
0.625	  0.00381  0.06855 -0.14218
0.630	  0.00387  0.06906 -0.14328
0.635	  0.00393  0.06957 -0.14438
0.640	  0.00399  0.07009 -0.14549
0.645	  0.00405  0.07060 -0.14660
0.650	  0.00411  0.07111 -0.14770
0.655	  0.00417  0.07162 -0.14881
0.660	  0.00424  0.07213 -0.14991
0.665	  0.00430  0.07264 -0.15102
0.670	  0.00437  0.07315 -0.15213
0.675	  0.00443  0.07367 -0.15324
0.680	  0.00450  0.07418 -0.15435
0.685	  0.00456  0.07469 -0.15545
0.690	  0.00463  0.07520 -0.15656
0.695	  0.00469  0.07571 -0.15767
0.700	  0.00476  0.07622 -0.15878
0.705	  0.00483  0.07672 -0.15989
0.710	  0.00490  0.07723 -0.16099
0.715	  0.00496  0.07774 -0.16210
0.720	  0.00503  0.07825 -0.16321
0.725	  0.00510  0.07876 -0.16432
0.730	  0.00517  0.07926 -0.16542
0.735	  0.00524  0.07977 -0.16653
0.740	  0.00531  0.08028 -0.16764
0.745	  0.00538  0.08078 -0.16874
0.750	  0.00545  0.08129 -0.16985
0.755	  0.00553  0.08179 -0.17096
0.760	  0.00560  0.08230 -0.17206
0.765	  0.00567  0.08280 -0.17317
0.770	  0.00575  0.08331 -0.17427
0.775	  0.00582  0.08381 -0.17538
0.780	  0.00589  0.08431 -0.17648
0.785	  0.00597  0.08481 -0.17758
0.790	  0.00604  0.08531 -0.17869
0.795	  0.00612  0.08582 -0.17979
0.800	  0.00620  0.08632 -0.18089
0.805	  0.00627  0.08682 -0.18200
0.810	  0.00635  0.08732 -0.18310
0.815	  0.00643  0.08782 -0.18420
0.820	  0.00650  0.08831 -0.18530
0.825	  0.00658  0.08881 -0.18640
0.830	  0.00666  0.08931 -0.18750
0.835	  0.00674  0.08981 -0.18860
0.840	  0.00682  0.09030 -0.18970
0.845	  0.00690  0.09080 -0.19080
0.850	  0.00698  0.09130 -0.19190
0.855	  0.00706  0.09179 -0.19300
0.860	  0.00714  0.09229 -0.19410
0.865	  0.00723  0.09278 -0.19520
0.870	  0.00731  0.09327 -0.19629
0.875	  0.00739  0.09377 -0.19739
0.880	  0.00748  0.09426 -0.19849
0.885	  0.00756  0.09475 -0.19959
0.890	  0.00764  0.09524 -0.20068
0.895	  0.00773  0.09574 -0.20178
0.900	  0.00781  0.09623 -0.20287
0.905	  0.00790  0.09672 -0.20397
0.910	  0.00799  0.09721 -0.20506
0.915	  0.00807  0.09770 -0.20616
0.920	  0.00816  0.09818 -0.20725
0.925	  0.00825  0.09867 -0.20834
0.930	  0.00834  0.09916 -0.20943
0.935	  0.00842  0.09965 -0.21053
0.940	  0.00851  0.10013 -0.21162
0.945	  0.00860  0.10062 -0.21271
0.950	  0.00869  0.10111 -0.21380
0.955	  0.00878  0.10159 -0.21489
0.960	  0.00887  0.10208 -0.21598
0.965	  0.00896  0.10256 -0.21707
0.970	  0.00906  0.10304 -0.21816
0.975	  0.00915  0.10353 -0.21925
0.980	  0.00924  0.10401 -0.22034
0.985	  0.00933  0.10449 -0.22143
0.990	  0.00943  0.10497 -0.22252
0.995	  0.00952  0.10546 -0.22360
1.000	  0.00961  0.10594 -0.22469
1.005	  0.00971  0.10642 -0.22578
1.010	  0.00980  0.10690 -0.22686
1.015	  0.00990  0.10738 -0.22795
1.020	  0.01000  0.10785 -0.22903
1.025	  0.01009  0.10833 -0.23012
1.030	  0.01019  0.10881 -0.23120
1.035	  0.01029  0.10929 -0.23229
1.040	  0.01038  0.10976 -0.23337
1.045	  0.01048  0.11024 -0.23446
1.050	  0.01058  0.11071 -0.23554
1.055	  0.01068  0.11119 -0.23662
1.060	  0.01078  0.11166 -0.23770
1.065	  0.01088  0.11214 -0.23878
1.070	  0.01098  0.11261 -0.23987
1.075	  0.01108  0.11308 -0.24095
1.080	  0.01118  0.11356 -0.24203
1.085	  0.01129  0.11403 -0.24311
1.090	  0.01139  0.11450 -0.24419
1.095	  0.01149  0.11497 -0.24526
1.100	  0.01159  0.11544 -0.24634
1.105	  0.01170  0.11591 -0.24742
1.110	  0.01180  0.11638 -0.24850
1.115	  0.01191  0.11685 -0.24958
1.120	  0.01201  0.11732 -0.25065
1.125	  0.01212  0.11779 -0.25173
1.130	  0.01222  0.11825 -0.25281
1.135	  0.01233  0.11872 -0.25388
1.140	  0.01244  0.11919 -0.25496
1.145	  0.01254  0.11965 -0.25603
1.150	  0.01265  0.12012 -0.25710
1.155	  0.01276  0.12058 -0.25818
1.160	  0.01287  0.12105 -0.25925
1.165	  0.01298  0.12151 -0.26032
1.170	  0.01309  0.12197 -0.26140
1.175	  0.01320  0.12244 -0.26247
1.180	  0.01331  0.12290 -0.26354
1.185	  0.01342  0.12336 -0.26461
1.190	  0.01353  0.12382 -0.26568
1.195	  0.01364  0.12428 -0.26675
1.200	  0.01375  0.12474 -0.26782
1.205	  0.01387  0.12520 -0.26889
1.210	  0.01398  0.12566 -0.26996
1.215	  0.01409  0.12612 -0.27103
1.220	  0.01421  0.12658 -0.27210
1.225	  0.01432  0.12704 -0.27316
1.230	  0.01444  0.12749 -0.27423
1.235	  0.01455  0.12795 -0.27530
1.240	  0.01467  0.12840 -0.27636
1.245	  0.01478  0.12886 -0.27743
1.250	  0.01490  0.12931 -0.27850
1.255	  0.01502  0.12977 -0.27956
1.260	  0.01513  0.13022 -0.28062
1.265	  0.01525  0.13068 -0.28169
1.270	  0.01537  0.13113 -0.28275
1.275	  0.01549  0.13158 -0.28381
1.280	  0.01561  0.13203 -0.28488
1.285	  0.01573  0.13248 -0.28594
1.290	  0.01585  0.13294 -0.28700
1.295	  0.01597  0.13339 -0.28806
1.300	  0.01609  0.13383 -0.28912
1.305	  0.01621  0.13428 -0.29018
1.310	  0.01633  0.13473 -0.29124
1.315	  0.01646  0.13518 -0.29230
1.320	  0.01658  0.13563 -0.29336
1.325	  0.01670  0.13608 -0.29442
1.330	  0.01683  0.13652 -0.29548
1.335	  0.01695  0.13697 -0.29653
1.340	  0.01708  0.13741 -0.29759
1.345	  0.01720  0.13786 -0.29865
1.350	  0.01733  0.13830 -0.29970
1.355	  0.01745  0.13875 -0.30076
1.360	  0.01758  0.13919 -0.30181
1.365	  0.01770  0.13963 -0.30287
1.370	  0.01783  0.14007 -0.30392
1.375	  0.01796  0.14052 -0.30498
1.380	  0.01809  0.14096 -0.30603
1.385	  0.01822  0.14140 -0.30708
1.390	  0.01834  0.14184 -0.30813
1.395	  0.01847  0.14228 -0.30919
1.400	  0.01860  0.14272 -0.31024
