0.740	 -0.01784  0.84004
0.745	 -0.01806  0.84073
0.750	 -0.01829  0.84143
0.755	 -0.01851  0.84214
0.760	 -0.01873  0.84284
0.765	 -0.01896  0.84356
0.770	 -0.01919  0.84427
0.775	 -0.01941  0.84499
0.780	 -0.01964  0.84571
0.785	 -0.01987  0.84644
0.790	 -0.02010  0.84717
0.795	 -0.02033  0.84790
0.800	 -0.02057  0.84863
0.805	 -0.02080  0.84937
0.810	 -0.02103  0.85012
0.815	 -0.02127  0.85087
0.820	 -0.02151  0.85162
0.825	 -0.02174  0.85237
0.830	 -0.02198  0.85313
0.835	 -0.02222  0.85389
0.840	 -0.02246  0.85465
0.845	 -0.02270  0.85542
0.850	 -0.02294  0.85619
0.855	 -0.02318  0.85696
0.860	 -0.02343  0.85774
0.865	 -0.02367  0.85852
0.870	 -0.02392  0.85931
0.875	 -0.02416  0.86010
0.880	 -0.02441  0.86089
0.885	 -0.02466  0.86168
0.890	 -0.02490  0.86248
0.895	 -0.02515  0.86328
0.900	 -0.02540  0.86408
0.905	 -0.02565  0.86489
0.910	 -0.02591  0.86570
0.915	 -0.02616  0.86651
0.920	 -0.02641  0.86733
0.925	 -0.02666  0.86815
0.930	 -0.02692  0.86897
0.935	 -0.02717  0.86980
0.940	 -0.02743  0.87063
0.945	 -0.02769  0.87146
0.950	 -0.02794  0.87230
0.955	 -0.02820  0.87314
0.960	 -0.02846  0.87398
0.965	 -0.02872  0.87482
0.970	 -0.02898  0.87567
0.975	 -0.02924  0.87652
0.980	 -0.02950  0.87738
0.985	 -0.02977  0.87823
0.990	 -0.03003  0.87909
0.995	 -0.03029  0.87996
1.000	 -0.03056  0.88082
1.005	 -0.03082  0.88169
1.010	 -0.03109  0.88256
1.015	 -0.03135  0.88344
1.020	 -0.03162  0.88431
1.025	 -0.03189  0.88520
1.030	 -0.03216  0.88608
1.035	 -0.03243  0.88696
1.040	 -0.03269  0.88785
1.045	 -0.03296  0.88875
1.050	 -0.03323  0.88964
1.055	 -0.03351  0.89054
1.060	 -0.03378  0.89144
1.065	 -0.03405  0.89234
1.070	 -0.03432  0.89325
1.075	 -0.03460  0.89415
1.080	 -0.03487  0.89507
1.085	 -0.03514  0.89598
1.090	 -0.03542  0.89690
1.095	 -0.03569  0.89781
1.100	 -0.03597  0.89874
1.105	 -0.03625  0.89966
1.110	 -0.03652  0.90059
1.115	 -0.03680  0.90152
1.120	 -0.03708  0.90245
1.125	 -0.03736  0.90338
1.130	 -0.03764  0.90432
1.135	 -0.03792  0.90526
1.140	 -0.03819  0.90621
1.145	 -0.03848  0.90715
1.150	 -0.03876  0.90810
1.155	 -0.03904  0.90905
1.160	 -0.03932  0.91000
1.165	 -0.03960  0.91096
1.170	 -0.03988  0.91191
1.175	 -0.04017  0.91287
1.180	 -0.04045  0.91384
1.185	 -0.04073  0.91480
1.190	 -0.04102  0.91577
1.195	 -0.04130  0.91674
1.200	 -0.04159  0.91771
1.205	 -0.04187  0.91869
1.210	 -0.04216  0.91966
1.215	 -0.04244  0.92064
1.220	 -0.04273  0.92162
1.225	 -0.04301  0.92261
1.230	 -0.04330  0.92359
1.235	 -0.04359  0.92458
1.240	 -0.04388  0.92557
1.245	 -0.04416  0.92657
1.250	 -0.04445  0.92756
1.255	 -0.04474  0.92856
1.260	 -0.04503  0.92956
1.265	 -0.04532  0.93056
1.270	 -0.04561  0.93157
1.275	 -0.04590  0.93257
1.280	 -0.04619  0.93358
1.285	 -0.04648  0.93459
1.290	 -0.04677  0.93561
1.295	 -0.04706  0.93662
1.300	 -0.04735  0.93764
1.305	 -0.04764  0.93866
1.310	 -0.04793  0.93968
1.315	 -0.04822  0.94070
1.320	 -0.04851  0.94173
1.325	 -0.04880  0.94276
1.330	 -0.04910  0.94379
1.335	 -0.04939  0.94482
1.340	 -0.04968  0.94585
1.345	 -0.04997  0.94689
1.350	 -0.05027  0.94793
1.355	 -0.05056  0.94897
1.360	 -0.05085  0.95001
1.365	 -0.05115  0.95105
1.370	 -0.05144  0.95210
1.375	 -0.05173  0.95314
1.380	 -0.05203  0.95419
1.385	 -0.05232  0.95525
1.390	 -0.05261  0.95630
1.395	 -0.05291  0.95736
1.400	 -0.05320  0.95841
1.405	 -0.05350  0.95947
1.410	 -0.05379  0.96053
1.415	 -0.05408  0.96160
